job_id,rep,n_steps,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,modularity,proportion_pure_edges,mean_majority_proportion
8,0,1000,0.5750,0.4250,0.5000,0.2000,0.2000,0.1000,0.1409,0.5589,0.8434
8,0,1000,0.5750,0.4250,1.5000,0.5000,0.2000,0.1000,0.1446,0.3164,0.8025
8,0,1000,0.7250,0.2750,2.0000,0.5000,0.2000,0.1000,0.2460,0.4122,0.8725
8,0,1000,0.7750,0.2250,1.0000,0.5000,0.2000,0.1000,0.1878,0.4571,0.8473
8,0,1000,0.6500,0.3500,1.5000,0.2000,0.2000,0.1000,0.2212,0.6118,0.9045
8,0,1000,0.5500,0.4500,1.0000,0.5000,0.2000,0.1000,0.0745,0.3224,0.7717
8,0,1000,0.7750,0.2250,0.5000,0.5000,0.2000,0.1000,0.1095,0.4810,0.8345
8,0,1000,0.7500,0.2500,1.5000,0.2000,0.2000,0.1000,0.3320,0.6437,0.9224
8,0,1000,1.0000,0.0000,1.5000,0.5000,0.2000,0.1000,0.1254,0.5379,0.9347
8,0,1000,0.9500,0.0500,0.5000,0.5000,0.2000,0.1000,0.1850,0.5269,0.8760
8,0,1000,0.7250,0.2750,1.0000,0.5000,0.2000,0.1000,0.1987,0.4431,0.8399
8,1,1000,0.9750,0.0250,2.0000,0.2000,0.2000,0.1000,0.3697,0.7435,0.9668
8,1,1000,0.8500,0.1500,2.0000,0.2000,0.2000,0.1000,0.4120,0.6966,0.9464
8,1,1000,0.7000,0.3000,1.5000,0.2000,0.2000,0.1000,0.2599,0.6168,0.9100
8,1,1000,0.9500,0.0500,2.0000,0.2000,0.2000,0.1000,0.1288,0.7216,0.9664
8,1,1000,0.8500,0.1500,0.5000,0.2000,0.2000,0.1000,0.2182,0.6866,0.9086
8,1,1000,0.8250,0.1750,1.5000,0.5000,0.2000,0.1000,0.2800,0.4381,0.8753
8,1,1000,0.7750,0.2250,1.0000,0.2000,0.2000,0.1000,0.2972,0.6108,0.9004
8,1,1000,0.7750,0.2250,2.0000,0.5000,0.2000,0.1000,0.2905,0.4331,0.8773
8,1,1000,0.8000,0.2000,1.0000,0.5000,0.2000,0.1000,0.2337,0.4840,0.8670
8,1,1000,0.7000,0.3000,2.0000,0.2000,0.2000,0.1000,0.3362,0.6527,0.9307
8,1,1000,0.9750,0.0250,0.5000,0.5000,0.2000,0.1000,0.2535,0.5339,0.8742
8,1,1000,0.7500,0.2500,2.0000,0.5000,0.2000,0.1000,0.2743,0.4232,0.8679
8,1,1000,0.8500,0.1500,0.5000,0.5000,0.2000,0.1000,0.2179,0.4910,0.8552
8,1,1000,0.8750,0.1250,1.0000,0.2000,0.2000,0.1000,0.3540,0.7216,0.9404
8,1,1000,1.0000,0.0000,2.0000,0.5000,0.2000,0.1000,0.2917,0.5589,0.9245
8,1,1000,0.7000,0.3000,1.0000,0.2000,0.2000,0.1000,0.2612,0.5938,0.8840
8,1,1000,0.9000,0.1000,0.5000,0.5000,0.2000,0.1000,0.1643,0.5030,0.8533
8,1,1000,0.8750,0.1250,0.5000,0.5000,0.2000,0.1000,0.1624,0.4750,0.8431
8,1,1000,0.5250,0.4750,0.5000,0.5000,0.2000,0.1000,0.0281,0.3124,0.7535
8,1,1000,0.5250,0.4750,1.5000,0.5000,0.2000,0.1000,0.1244,0.3064,0.7918
8,1,1000,0.5250,0.4750,1.5000,0.2000,0.2000,0.1000,0.2353,0.5709,0.8808
